Date,Open_Interest,Producer_Longs,Producer_Shorts,Swap_Dealer_Longs,Swap_Dealer_Shorts,Swap_Dealer_Spreads,Money_Manager_Longs,Money_Manager_Shorts,Money_Manager_Spreads,Other_Reportable_Longs,Other_Reportable_Shorts,Other Reportable Spreads,Total_Reportable_Longs,Total_Reportable_Shorts,Non_Reportable_Longs,Non_Reportable_Shorts
2013-01-08T00:00:00Z,219639,70635,114230,25661,11896,4100,44648,20252,37266,6540,3299,18675,207525,209718,12114,9921
2013-01-15T00:00:00Z,219469,71700,112947,23445,11517,3900,44015,21193,38069,6757,2981,18669,206556,209276,12913,10193
2013-01-22T00:00:00Z,225020,73521,110439,23576,11568,4012,43504,24862,40576,7273,3426,18388,210849,213271,14171,11749
2013-01-29T00:00:00Z,235327,76481,107882,24431,12320,6563,42982,27656,44805,6997,3954,20272,222530,223452,12798,11876
2013-02-05T00:00:00Z,215262,73455,106899,23796,12198,4923,48711,30417,32539,6844,4917,12260,202527,204151,12735,11111
2013-02-12T00:00:00Z,200139,68060,100339,23692,12187,3502,47210,30355,26346,7449,4594,11944,188202,189267,11937,10872
2013-02-19T00:00:00Z,202240,69949,97909,21687,12886,2822,47599,32977,27316,8936,4584,12426,190737,190921,11503,11319
2013-02-26T00:00:00Z,209933,70523,97556,22600,12421,2897,49104,36533,30168,9449,5814,13186,197926,198575,12006,11358
2013-03-05T00:00:00Z,218629,74005,98346,21657,12623,4900,51750,41407,30531,9975,5230,12787,205605,205825,13023,12803
2013-03-12T00:00:00Z,220030,72902,97930,20294,13677,5051,55236,41012,29517,9140,6266,14725,206864,208178,13166,11852
2013-03-19T00:00:00Z,217748,74303,95328,20210,14403,5982,56847,45273,24633,9180,5771,14322,205476,205711,12272,12037
2013-03-26T00:00:00Z,218925,76496,99825,20059,14677,6247,53744,42091,24933,9727,4916,15209,206413,207898,12512,11028
2013-04-02T00:00:00Z,220081,76900,102232,19968,13745,6826,51451,40390,25545,11018,4555,15755,207464,209049,12617,11032
2013-04-09T00:00:00Z,212637,74307,102396,19935,13609,4007,49343,36278,27411,9943,4233,14332,199278,202268,13359,10369
2013-04-16T00:00:00Z,213712,71642,108293,20993,13513,4483,51290,30162,27788,11646,4418,15673,203516,204331,10196,9382
2013-04-23T00:00:00Z,220896,68736,115319,19916,14398,6725,53837,25760,30484,13295,3768,16413,209405,212866,11491,8030
2013-04-30T00:00:00Z,234574,65478,123148,21481,14613,7243,63109,25908,33024,14344,5164,17488,222168,226588,12406,7986
2013-05-07T00:00:00Z,248992,63493,131777,22668,14250,8272,67087,24493,38414,15107,4991,19077,234117,241275,14875,7718
2013-05-14T00:00:00Z,243469,64498,131161,21563,14319,8751,68112,22836,36689,11674,4716,17936,229224,236409,14245,7061
2013-05-21T00:00:00Z,247583,65013,130811,21561,14025,9188,70835,24800,39132,9556,4976,17537,232822,240469,14761,7114
2013-05-28T00:00:00Z,240541,68230,130768,21504,14041,8318,64890,20739,37761,8834,4277,17643,227181,233548,13360,6993
2013-06-04T00:00:00Z,240156,68757,126162,19314,14303,9781,66522,20034,34562,8134,5550,20138,227208,230529,12947,9627
2013-06-11T00:00:00Z,229263,66136,130645,20787,14213,6646,67751,18159,28115,8504,6183,16798,214737,220758,14525,8504
2013-06-18T00:00:00Z,204012,61212,120407,20196,14142,3877,62504,16053,23820,7725,4131,14353,193687,196783,10326,7229
2013-06-25T00:00:00Z,199343,59357,113264,21834,12508,2953,60917,20819,21872,7657,4824,15090,189680,191330,9663,8012
2013-07-02T00:00:00Z,199694,59004,111436,21530,8663,6361,58230,22634,19691,7171,4140,17098,189085,190023,10610,9671
2013-07-09T00:00:00Z,195125,58909,99218,20293,8744,7037,53271,21510,21737,7103,10953,16134,184484,185334,10641,9791
2013-07-16T00:00:00Z,194765,58705,105925,19337,9480,7605,52396,20605,21483,6523,4750,17002,183051,186851,11714,7914
2013-07-23T00:00:00Z,201196,58502,115021,19216,9548,7988,53655,10522,25104,6502,7210,18601,189568,193994,11628,7202
2013-07-30T00:00:00Z,199940,54999,111761,18527,9272,9391,54711,10710,26760,5830,6842,18048,188267,192785,11673,7155
2013-08-06T00:00:00Z,195990,51142,111761,18597,9246,5478,57024,12366,27775,6283,7408,15977,182276,190012,13713,5978
2013-08-13T00:00:00Z,206339,52048,122149,18329,8907,3605,66208,13792,24886,8186,9044,18239,191502,200623,14837,5715
2013-08-20T00:00:00Z,212804,51190,126774,18599,8706,2645,71872,15092,25125,9263,9135,19767,198461,207244,14343,5561
2013-08-27T00:00:00Z,211282,50884,126316,18323,7977,2236,72725,14489,26123,8872,8786,18931,198094,204858,13188,6424
2013-09-03T00:00:00Z,210270,50346,126529,18033,8398,2060,75794,16330,23628,7917,7527,19858,197636,204329,12635,5941
2013-09-10T00:00:00Z,226228,49954,134985,18691,8407,3007,78818,13554,30311,9822,8613,20984,211587,219862,14641,6366
2013-09-17T00:00:00Z,238376,49330,139134,20525,8083,3231,82878,14932,33870,10200,9123,24268,224301,232642,14075,5735
2013-09-24T00:00:00Z,244769,48982,140883,20507,7778,3291,84184,15848,37487,10192,7597,25510,230154,238394,14615,6375
2013-10-01T00:00:00Z,252089,47633,142270,21328,7567,3279,87316,17166,39263,11661,8632,27116,237596,245294,14493,6795
2013-10-08T00:00:00Z,259713,48363,146151,22486,7628,3555,89234,19054,37611,11683,7546,30334,243265,251879,16449,7834
2013-10-15T00:00:00Z,263500,48904,149181,22948,7797,3863,91239,20090,35631,12188,7342,32590,247364,256494,16136,7006
2013-10-22T00:00:00Z,272143,50928,152771,22739,7761,3841,95371,21438,37585,10999,7715,34038,255500,265148,16643,6996
2013-10-29T00:00:00Z,261233,49742,151139,23617,7918,3471,94949,18911,32377,9365,8642,31406,244927,253864,16306,7370
2013-11-05T00:00:00Z,242748,46545,154243,22750,7582,4132,98911,15237,24594,9899,10094,19636,226468,235519,16280,7229
2013-11-12T00:00:00Z,221077,46624,145120,22570,6868,1150,89868,12593,20355,8318,9751,18008,206893,213845,14184,7233
