Open_Interest.t,Mon.t_1_Manager_Longs.t,Mon.t_1_Manager_Shorts.t,Mon.t_1_Manager_Spreads.t,Open_Interest.t_1,Producer_Longs.t_1,Producer_Shorts.t_1,Swap_Dealer_Longs.t_1,Swap_Dealer_Shorts.t_1,Swap_Dealer_Spreads.t_1,Mon.t_1_Manager_Longs.t_1,Mon.t_1_Manager_Shorts.t_1,Mon.t_1_Manager_Spreads.t_1,Other_Reportable_Longs.t_1,Other_Reportable_Shorts.t_1,Other Reportable Spreads.t_1,Total_Reportable_Longs.t_1,Total_Reportable_Shorts.t_1,Non_Reportable_Longs.t_1,Non_Reportable_Shorts.t_1,Oil.t_1,Sugar.t_1,Sugar.t
1035783,143620,2086,75075,1015730,215482,404407,110551,122011,101191,141545,1822,69395,27170,5088,258197,923532,962112,92199,53618,1.607,1.17,-2.387
1025671,161325,174647,117955,1001327,249661,423581,231227,50066,61051,152532,203287,113336,63225,13446,51713,922745,916479,78582,84848,1.637,0.6,-0.683
979169,130356,41962,66965,1001371,225310,549332,261660,49444,71754,134073,40754,63590,11783,9173,149719,917888,933765,83483,67606,-5.257,-0.037,-1.14
1152172,174329,40534,77856,1117624,206091,587568,293420,49602,88256,167564,57147,75723,18715,17989,179250,1029020,1055536,88605,62089,-3.443,1.013,-0.32
819237,124076,78110,70907,803425,217517,439605,194358,51595,35906,130056,74519,65491,34864,7357,57462,735654,731935,67771,71490,-5.333,-0.53,-0.09
1057235,125854,276717,98776,1042068,311469,393128,209893,24253,48930,125803,254601,102818,65191,30148,98175,962279,952053,79789,90015,0.03,0.473,0.05
846263,134902,66397,80520,856939,263008,326005,133907,131179,31616,133934,90613,77547,32744,18081,115238,787995,790280,68944,66659,-3.203,0.773,0.143
901832,142506,152939,87362,895003,189689,419247,240899,53175,36872,145904,157444,86580,58708,9582,49174,807826,812075,87177,82929,-0.393,-0.37,-0.54
797192,184418,30768,40015,785543,142146,400701,151628,79880,54556,172741,29878,36068,29790,8755,112854,699783,722692,85760,62851,3.927,-0.643,2.397
990817,167534,194023,105490,1105000,276151,453319,208224,35366,74451,160813,199389,137289,56197,17648,100261,1013386,1017723,91614,87277,2.553,0.71,1.14
1358236,194948,3070,102680,1321425,363908,493139,126984,228207,137450,190817,4773,98356,22741,19463,282620,1222874,1264006,98551,57419,2.567,0.393,-1.767
1091655,222684,45795,119023,1174330,336913,521063,96682,192821,53041,268989,41081,123137,39914,37393,159408,1078084,1127943,96246,46387,-3.093,-3.033,-0.07
1047883,245954,47076,84423,1045123,281961,493542,126360,153662,37931,245469,48595,79875,29368,30128,147242,948206,990974,96917,54149,-3.82,-0.167,0.31
1002594,154661,18848,80887,1002939,260760,376957,129043,167309,116579,151412,26867,70798,22373,3044,183357,934322,944911,68617,58028,0.507,1.203,-1.423
1262183,280784,27862,88139,1234601,327531,675132,175480,173167,59864,274242,28554,81774,59669,13273,155956,1134515,1187720,100086,46881,-0.01,0.403,-0.223
940195,177513,229302,90192,981325,265092,432811,218433,21808,37365,172612,215061,97562,54990,26317,71535,917590,902459,63735,78866,-0.613,0.877,1.01
1057830,114461,214527,113826,1024632,317274,414803,193360,23333,41572,109579,224628,113813,44392,11025,114708,934698,943882,89934,80750,2.07,0.42,-0.213
1092682,136437,204656,114031,1061312,282808,484434,214348,31272,41156,132713,205384,100662,108151,19446,97413,977251,979768,84062,81544,3.067,0.243,-0.21
698652,56798,35298,32336,686189,211568,379422,135161,29340,16797,60552,33306,32102,32599,4940,122734,611513,618642,74675,67547,1.423,-0.177,0.403
1051847,206305,43416,105422,1024918,260761,472700,134961,158842,43748,224177,46245,106599,39567,13841,124493,934306,966469,90612,58449,1,0.58,-0.007
981814,126432,23768,83835,970670,258575,453944,143431,54283,94042,122576,31192,81280,13266,11783,182049,895220,908573,75450,62097,3.277,0.297,-0.23
1008982,155161,5803,71620,1088715,353377,452992,118392,226598,107832,166057,2869,72598,25442,10361,169282,1012980,1042533,75735,46182,1.847,-2.85,-2.21
831077,127904,106790,36368,845656,233628,429276,184699,50739,35789,125444,95884,36502,32934,15612,114082,763078,777885,82578,67771,3.527,0.167,0.167
866006,100232,98051,45063,881918,280528,481075,182295,51674,36441,115501,88201,45718,34437,18965,116536,811455,838611,70463,43308,-0.327,-0.36,-0.167
1234789,221378,33185,101279,1192703,377591,657743,175817,167052,46331,204314,33351,87960,56445,8014,147481,1095939,1147933,96764,44770,0.497,-0.067,-0.13
936084,209797,50962,75822,952414,232661,446952,137152,162345,42074,228079,46966,78337,33944,10292,111781,864028,898746,88386,53667,-2.483,-0.113,1.393
1404018,207465,22362,111387,1429622,299345,833359,314490,81580,55811,234276,27761,116591,36271,26289,226611,1283395,1368002,146227,61620,8.51,-0.823,-1.123
856939,133934,90613,77547,869216,252179,366200,136852,139511,30755,148904,77822,75580,44562,10312,109293,798125,809474,71091,59742,-12.393,-0.787,0.773
1004020,100349,226831,83987,1001556,317429,363233,158119,28502,62239,97068,232068,89977,70040,12535,136874,931746,925427,69810,76129,-0.867,0.243,0.163
1060293,182505,13870,108484,1057619,267111,591596,144622,66469,50558,193889,17038,101767,55635,18524,161332,974914,1007284,82705,50336,-2.793,-0.163,-0.113
1089101,282570,42812,112685,1100767,273392,508448,112874,186174,38276,298551,40535,104160,38578,37479,132182,998013,1047254,102754,53513,-2.51,-0.513,-0.11
1044324,149930,73407,111287,1023556,309978,464463,126349,160039,60922,178256,40117,109920,40975,12059,117786,944186,965306,79371,58250,3.92,-0.647,0.56
877633,104411,176958,79707,815819,213132,414349,177331,33305,39589,126539,116120,57765,52594,20312,75468,742418,756907,73401,58912,-0.503,-1.137,0.573
1133679,283797,63762,147246,1069826,259614,482909,118670,155410,38259,270304,65693,132532,38666,23140,119401,977446,1017344,92380,52481,0.543,-0.037,-0.28
931113,138498,132935,76534,1051676,266992,487485,208338,49278,50433,139498,137638,111069,82107,31365,113621,972057,980890,79619,70786,-1.55,0.23,-0.677
1162945,169774,7930,97625,1183796,300301,509223,141623,153674,126370,171856,4808,97462,28581,7528,233816,1100008,1132881,83788,50915,4.073,-1.25,-1.013
894903,131809,135924,80282,886464,249745,395423,178220,34418,44763,119082,154848,87029,53664,21963,82188,814690,820632,71774,65832,2.483,-0.443,-1
1156264,120529,86542,132004,1165724,384484,638714,170510,41022,55629,118666,67181,134715,64571,11780,155008,1083584,1104049,82140,61675,-1.88,0.37,-0.15
842181,149443,7880,55396,831483,197278,429636,130437,83214,64565,147514,10063,54493,25843,4631,118262,738392,764864,93091,66619,2.283,2.567,-3.237
891232,132055,113321,68382,864059,257857,424402,199527,50809,42949,129440,118943,63923,30552,11930,67926,792174,780883,71884,83176,1.28,0.127,-0.403
815533,131443,118635,52049,804303,215466,406758,176432,32215,39842,127858,126911,49500,52825,19502,69449,731372,744178,72931,60125,1.11,0.13,-0.16
1154085,177589,40664,76425,1134983,201101,605411,285780,58456,88162,176772,40333,77550,18484,15592,186067,1033916,1071571,101066,63412,1.447,0.14,0.527
947826,108925,49713,62900,966314,228732,470820,224846,35885,80174,111687,48190,66872,9746,17378,176986,899043,896306,67272,70008,-7.067,-0.4,-0.117
1042068,125803,254601,102818,939032,265166,401545,203035,25473,48395,135624,194237,81098,54324,30032,83309,870950,864089,68082,74943,0.66,-0.397,0.473
1010485,111729,145001,113943,992639,293951,476203,192448,48189,40152,111381,117191,112273,39524,17806,125275,915004,937090,77635,55549,-5.24,-0.517,0.073
